lag,batch_size,neurons,layers,split,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,80,32,2,0.85,0,0,0,0,0.381213998,0.542055405,0,0,0,0,0.147058824,0.544117647,0.444117647,0.397058824,0.923269402
1,80,128,3,0.85,0,0,0,0.036363636,0.3437677,0.540979315,0,0,0,0,0.130434783,0.507246377,0.434782609,0.376811594,0.921110651
14,20,128,3,0.85,0,0,0,0.057142857,0.347703778,0.508958639,0,0,0,0,0.179104478,0.492537313,0.408955224,0.313432836,0.913805274
3,80,256,2,0.85,0,0,0,0,0.366159527,0.547578691,0,0,0,0,0.117647059,0.485294118,0.438235294,0.367647059,0.913738218
1,20,256,2,0.85,0,0,0,0,0.34985755,0.561306157,0,0,0,0,0.144927536,0.536231884,0.449275362,0.391304348,0.911163707
7,80,32,1,0.85,0,0,0,0,0.38501064,0.524149479,0,0,0,0,0.117647059,0.5,0.432352941,0.382352941,0.909160119
1,80,256,1,0.85,0,0,0,0.036363636,0.299578154,0.571592747,0,0,0,0,0.130434783,0.52173913,0.449275362,0.391304348,0.907534538
14,50,32,1,0.85,0,0,0,0.066666667,0.318362947,0.522439958,0,0,0,0,0.223880597,0.52238806,0.414925373,0.298507463,0.907469571
1,80,256,2,0.85,0,0,0,0.04,0.324236167,0.539855718,0,0,0,0,0.072463768,0.463768116,0.428985507,0.391304348,0.904091886
14,20,256,3,0.85,0,0,0,0,0.392522787,0.510076877,0,0,0,0,0.179104478,0.507462687,0.426865672,0.328358209,0.902599664
7,5,256,3,0.85,0,0,0,0.05,0.4399632,0.4122561,0,0,0,0,0.117647059,0.455882353,0.411764706,0.338235294,0.902219299
1,5,256,3,0.85,0,0,0,0,0.291296714,0.609414737,0,0,0,0,0.115942029,0.52173913,0.475362319,0.405797101,0.900711451
3,50,256,1,0.85,0,0,0,0,0.369625895,0.53095748,0,0,0,0,0.117647059,0.485294118,0.426470588,0.367647059,0.900583374
1,5,32,3,0.85,0,0,0,0.044444444,0.271001145,0.584686777,0,0,0,0,0.101449275,0.507246377,0.452173913,0.405797101,0.900132367
1,80,128,1,0.85,0,0,0,0.036363636,0.290467568,0.572975456,0,0,0,0,0.115942029,0.507246377,0.449275362,0.391304348,0.899806661
3,50,128,3,0.85,0,0,0,0,0.393519814,0.506190768,0,0,0,0,0.147058824,0.5,0.420588235,0.352941176,0.899710581
14,5,128,3,0.85,0,0,0,0,0.334661734,0.498274291,0.066666667,0,0,0,0.089552239,0.462686567,0.405970149,0.373134328,0.899602691
3,80,128,2,0.85,0,0,0,0,0.343923445,0.553568627,0,0,0,0,0.088235294,0.470588235,0.435294118,0.382352941,0.897492072
1,20,32,1,0.85,0,0,0,0.044444444,0.251734622,0.600520157,0,0,0,0,0.086956522,0.507246377,0.460869565,0.420289855,0.896699224
14,80,128,2,0.85,0,0,0,0,0.370514192,0.524602992,0,0,0,0,0.223880597,0.537313433,0.426865672,0.313432836,0.895117184
1,50,256,3,0.85,0,0,0,0,0.344944798,0.549968918,0,0,0,0,0.130434783,0.492753623,0.449275362,0.362318841,0.894913716
1,50,128,2,0.85,0,0,0,0,0.331309475,0.56128906,0,0,0,0,0.144927536,0.507246377,0.443478261,0.362318841,0.892598535
14,5,32,3,0.85,0,0,0,0.057142857,0.344338431,0.490276388,0,0,0,0,0.164179104,0.47761194,0.4,0.313432836,0.891757676
3,50,128,2,0.85,0,0,0,0,0.399239476,0.492019376,0,0,0,0,0.147058824,0.485294118,0.411764706,0.338235294,0.891258851
3,20,128,1,0.85,0,0,0,0.05,0.282539683,0.558510911,0,0,0,0,0.132352941,0.514705882,0.426470588,0.382352941,0.891050594
1,5,32,1,0.85,0,0,0,0.04,0.269849519,0.575585455,0,0,0,0,0.086956522,0.492753623,0.446376812,0.405797101,0.885434973
1,5,32,2,0.85,0,0,0,0.036363636,0.256284585,0.5924514,0,0,0,0,0.057971014,0.463768116,0.452173913,0.405797101,0.885099621
3,50,128,1,0.85,0,0,0,0,0.364270499,0.519557631,0,0,0,0,0.132352941,0.485294118,0.417647059,0.352941176,0.88382813
1,50,256,2,0.85,0,0,0,0,0.332442199,0.549870308,0,0,0,0,0.115942029,0.492753623,0.437681159,0.376811594,0.882312507
14,50,256,3,0.85,0,0,0,0,0.377493901,0.501645535,0,0,0,0,0.179104478,0.507462687,0.411940299,0.328358209,0.879139436
3,20,256,2,0.85,0,0,0,0,0.32182555,0.55694832,0,0,0,0,0.088235294,0.470588235,0.435294118,0.382352941,0.878773871
3,5,32,1,0.85,0,0,0,0.05,0.248095568,0.580066701,0,0,0,0,0.029411765,0.455882353,0.441176471,0.426470588,0.878162269
14,50,32,3,0.85,0,0,0,0.057142857,0.395814516,0.423098528,0,0,0,0,0.194029851,0.47761194,0.379104478,0.28358209,0.876055901
1,80,32,1,0.85,0,0,0,0.036363636,0.243284682,0.591261534,0,0,0,0,0.144927536,0.550724638,0.455072464,0.405797101,0.870909852
3,5,128,1,0.85,0,0,0,0,0.313661476,0.557242558,0,0,0,0,0.088235294,0.470588235,0.432352941,0.382352941,0.870904034
3,20,256,1,0.85,0,0,0,0.05,0.268591979,0.549253893,0,0,0,0,0.088235294,0.470588235,0.417647059,0.382352941,0.867845872
3,5,32,3,0.85,0,0,0,0,0.246409666,0.547258459,0.066666667,0,0,0,0.073529412,0.455882353,0.414705882,0.382352941,0.860334792
1,20,32,2,0.85,0,0,0,0.044444444,0.222714097,0.592034177,0,0,0,0,0.115942029,0.52173913,0.449275362,0.405797101,0.859192719
14,80,256,1,0.85,0,0,0,0,0.335998466,0.515979164,0,0,0,0,0.23880597,0.507462687,0.411940299,0.268656716,0.85197763
14,50,32,2,0.85,0,0,0,0.057142857,0.247889227,0.540050407,0,0,0,0,0.194029851,0.507462687,0.417910448,0.313432836,0.84508249
1,50,128,3,0.85,0,0,0,0,0.302032615,0.541498879,0,0,0,0,0.115942029,0.492753623,0.428985507,0.376811594,0.843531495
14,80,32,3,0.85,0,0,0,0,0.389899849,0.45290192,0,0,0,0,0.208955224,0.492537313,0.391044776,0.28358209,0.842801769
1,80,32,2,0.85,0,0,0,0.036363636,0.21199908,0.59252587,0,0,0,0,0.173913043,0.550724638,0.449275362,0.376811594,0.840888586
3,50,32,3,0.85,0,0,0,0,0.316042632,0.522961385,0,0,0,0,0.102941176,0.470588235,0.420588235,0.367647059,0.839004017
3,5,32,2,0.85,0,0,0,0,0.279004422,0.559875959,0,0,0,0,0.044117647,0.455882353,0.429411765,0.411764706,0.838880381
1,20,32,3,0.85,0,0,0,0.044444444,0.229845343,0.564092438,0,0,0,0,0.130434783,0.47826087,0.437681159,0.347826087,0.838382225
3,50,32,2,0.85,0,0,0,0,0.321525601,0.513809559,0,0,0,0,0.088235294,0.455882353,0.420588235,0.367647059,0.83533516
14,20,32,2,0.85,0,0,0,0.057142857,0.240934556,0.536587027,0,0,0,0,0.179104478,0.47761194,0.411940299,0.298507463,0.834664439
14,5,32,2,0.85,0,0,0,0.057142857,0.260352718,0.513968546,0,0,0,0,0.194029851,0.492537313,0.4,0.298507463,0.831464121
1,80,32,3,0.85,0,0,0,0.044444444,0.22231247,0.56462633,0,0,0,0,0.15942029,0.507246377,0.437681159,0.347826087,0.831383245
14,80,32,2,0.85,0,0,0,0.057142857,0.234458208,0.537973561,0,0,0,0,0.179104478,0.47761194,0.411940299,0.298507463,0.829574627
3,50,32,1,0.85,0,0,0,0,0.31611195,0.502163927,0,0,0,0,0.088235294,0.455882353,0.411764706,0.367647059,0.818275877
1,50,128,1,0.85,0,0,0,0,0.230267053,0.581012654,0,0,0,0,0.130434783,0.507246377,0.443478261,0.376811594,0.811279706
3,20,32,3,0.85,0,0,0,0.066666667,0.184852503,0.556345719,0,0,0,0,0.088235294,0.470588235,0.411764706,0.382352941,0.807864888
3,80,256,1,0.85,0,0,0,0,0.217376285,0.578987739,0,0,0,0,0.073529412,0.470588235,0.432352941,0.397058824,0.796364025
3,80,128,1,0.85,0,0,0,0,0.209584753,0.582418268,0,0,0,0,0.073529412,0.470588235,0.432352941,0.397058824,0.792003021
1,50,256,1,0.85,0,0,0,0,0.214585626,0.576028313,0,0,0,0,0.144927536,0.52173913,0.437681159,0.376811594,0.790613939
3,20,32,2,0.85,0,0,0,0,0.188548769,0.578074304,0,0,0,0,0.073529412,0.470588235,0.426470588,0.397058824,0.766623073
1,50,32,1,0.85,0,0,0,0,0.168425499,0.594269499,0,0,0,0,0.130434783,0.52173913,0.446376812,0.391304348,0.762694999
3,80,32,3,0.85,0,0,0,0.066666667,0.108537321,0.581674997,0,0,0,0,0.044117647,0.455882353,0.423529412,0.411764706,0.756878985
3,20,32,1,0.85,0,0,0,0,0.188179096,0.564874798,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.753053894
1,50,32,3,0.85,0,0,0,0,0.168770502,0.581492859,0,0,0,0,0.101449275,0.492753623,0.437681159,0.391304348,0.750263361
1,50,32,2,0.85,0,0,0,0,0.138935961,0.592849277,0,0,0,0,0.144927536,0.52173913,0.443478261,0.376811594,0.731785238
3,80,32,1,0.85,0,0,0,0,0.139315598,0.589675998,0,0,0,0,0.029411765,0.441176471,0.429411765,0.411764706,0.728991596
3,80,32,2,0.85,0,0,0,0,0.113960427,0.574706601,0,0,0,0,0.044117647,0.441176471,0.414705882,0.397058824,0.688667028
