lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,20,64,1,0.85,,0,0,0,0,0.299074746,0.544113215,0,0,0,0,0.223880597,0.507462687,0.429850746,0.28358209,0.843187961
7,20,64,2,0.85,,0,0,0,0,0.298103346,0.544002011,0,0,0,0,0.088235294,0.470588235,0.420588235,0.382352941,0.842105357
1,80,64,1,0.85,,0,0,0,0.036363636,0.195118621,0.609591995,0,0,0,0,0.130434783,0.550724638,0.463768116,0.420289855,0.841074252
14,50,128,2,0.85,,0,0,0,0,0.373763581,0.46716953,0,0,0,0,0.208955224,0.47761194,0.391044776,0.268656716,0.840933111
14,50,256,2,0.85,,0,0,0,0,0.334495638,0.502939994,0,0,0,0,0.194029851,0.492537313,0.411940299,0.298507463,0.837435632
14,80,256,3,0.85,,0,0,0,0,0.344849893,0.491693253,0,0,0,0,0.179104478,0.47761194,0.408955224,0.298507463,0.836543146
1,20,32,1,0.85,,0,0,0,0.044444444,0.176388889,0.611947099,0,0,0,0,0.130434783,0.550724638,0.457971014,0.420289855,0.832780432
7,20,128,2,0.85,,0,0,0,0,0.346406785,0.486143283,0,0,0,0,0.088235294,0.455882353,0.402941176,0.367647059,0.832550068
3,5,256,2,0.85,,0,0,0,0,0.316086346,0.514572159,0,0,0,0,0.058823529,0.455882353,0.423529412,0.397058824,0.830658504
7,50,16,2,0.85,,0,0,0,0,0.275941573,0.553121843,0,0,0,0,0.117647059,0.5,0.435294118,0.382352941,0.829063416
14,50,128,3,0.85,,0,0,0,0.066666667,0.266324375,0.495961491,0,0,0,0,0.253731343,0.52238806,0.4,0.268656716,0.828952532
7,80,64,2,0.85,,0,0,0,0,0.28971308,0.533858961,0,0,0,0,0.102941176,0.485294118,0.423529412,0.382352941,0.823572041
7,50,32,2,0.85,,0,0,0,0,0.312257918,0.508408076,0,0,0,0,0.102941176,0.470588235,0.411764706,0.367647059,0.820665994
3,5,128,2,0.85,,0,0,0,0.066666667,0.217478919,0.536041224,0,0,0,0,0.073529412,0.426470588,0.405882353,0.352941176,0.82018681
7,20,256,2,0.85,,0,0,0,0,0.315669586,0.503025579,0,0,0,0,0.088235294,0.455882353,0.4,0.367647059,0.818695165
