lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
3.0,10000.0,5.0,16.0,1.0,0.85,0.5536231884057972,0.5072463768115942,0.6086956521739131,0.10144927536231885
3.0,10000.0,20.0,16.0,1.0,0.85,0.5536231884057972,0.4927536231884058,0.6521739130434783,0.15942028985507245
3.0,10000.0,50.0,16.0,1.0,0.85,0.553623188405797,0.4492753623188406,0.6521739130434783,0.2028985507246377
3.0,10000.0,80.0,16.0,1.0,0.85,0.527536231884058,0.4927536231884058,0.5652173913043478,0.07246376811594196
3.0,10000.0,5.0,16.0,2.0,0.85,0.5478260869565218,0.5072463768115942,0.5942028985507246,0.08695652173913038
3.0,10000.0,20.0,16.0,2.0,0.85,0.5304347826086957,0.5072463768115942,0.5507246376811594,0.04347826086956519
3.0,10000.0,50.0,16.0,2.0,0.85,0.5217391304347826,0.4782608695652174,0.5507246376811594,0.07246376811594202
3.0,10000.0,80.0,16.0,2.0,0.85,0.5014492753623188,0.4492753623188406,0.5652173913043478,0.1159420289855072
3.0,10000.0,5.0,16.0,3.0,0.85,0.518840579710145,0.4927536231884058,0.5652173913043478,0.07246376811594196
3.0,10000.0,20.0,16.0,3.0,0.85,0.5130434782608695,0.463768115942029,0.5652173913043478,0.10144927536231879
3.0,10000.0,50.0,16.0,3.0,0.85,0.5130434782608696,0.43478260869565216,0.6376811594202898,0.20289855072463764
3.0,10000.0,80.0,16.0,3.0,0.85,0.5101449275362319,0.463768115942029,0.5652173913043478,0.10144927536231879
3.0,10000.0,5.0,32.0,1.0,0.85,0.5507246376811594,0.4927536231884058,0.6086956521739131,0.11594202898550726
3.0,10000.0,20.0,32.0,1.0,0.85,0.5565217391304349,0.5362318840579711,0.6086956521739131,0.07246376811594202
3.0,10000.0,50.0,32.0,1.0,0.85,0.5304347826086957,0.4782608695652174,0.5797101449275363,0.10144927536231885
3.0,10000.0,80.0,32.0,1.0,0.85,0.5478260869565218,0.5072463768115942,0.5942028985507246,0.08695652173913038
3.0,10000.0,5.0,32.0,2.0,0.85,0.5623188405797102,0.4927536231884058,0.5942028985507246,0.10144927536231879
3.0,10000.0,20.0,32.0,2.0,0.85,0.5594202898550724,0.5072463768115942,0.6376811594202898,0.13043478260869557
3.0,10000.0,50.0,32.0,2.0,0.85,0.5681159420289854,0.4782608695652174,0.6666666666666666,0.18840579710144922
3.0,10000.0,80.0,32.0,2.0,0.85,0.5130434782608696,0.43478260869565216,0.5797101449275363,0.1449275362318841
3.0,10000.0,5.0,32.0,3.0,0.85,0.5710144927536231,0.5507246376811594,0.5942028985507246,0.04347826086956519
3.0,10000.0,20.0,32.0,3.0,0.85,0.5623188405797102,0.463768115942029,0.6086956521739131,0.1449275362318841
3.0,10000.0,50.0,32.0,3.0,0.85,0.5652173913043479,0.4782608695652174,0.6086956521739131,0.13043478260869568
3.0,10000.0,80.0,32.0,3.0,0.85,0.5217391304347827,0.5072463768115942,0.5507246376811594,0.04347826086956519
3.0,10000.0,5.0,64.0,1.0,0.85,0.5449275362318841,0.5072463768115942,0.6086956521739131,0.10144927536231885
3.0,10000.0,20.0,64.0,1.0,0.85,0.5333333333333334,0.4782608695652174,0.5942028985507246,0.1159420289855072
3.0,10000.0,50.0,64.0,1.0,0.85,0.518840579710145,0.43478260869565216,0.6086956521739131,0.17391304347826092
3.0,10000.0,80.0,64.0,1.0,0.85,0.5217391304347826,0.4782608695652174,0.5942028985507246,0.1159420289855072
3.0,10000.0,5.0,64.0,2.0,0.85,0.5420289855072464,0.463768115942029,0.5942028985507246,0.13043478260869562
3.0,10000.0,20.0,64.0,2.0,0.85,0.5681159420289855,0.4927536231884058,0.6086956521739131,0.11594202898550726
3.0,10000.0,50.0,64.0,2.0,0.85,0.5739130434782609,0.4782608695652174,0.6521739130434783,0.17391304347826086
3.0,10000.0,80.0,64.0,2.0,0.85,0.5507246376811594,0.5217391304347826,0.6086956521739131,0.08695652173913049
3.0,10000.0,5.0,64.0,3.0,0.85,0.5594202898550724,0.4782608695652174,0.6086956521739131,0.13043478260869568
3.0,10000.0,20.0,64.0,3.0,0.85,0.5681159420289854,0.5217391304347826,0.5942028985507246,0.07246376811594202
3.0,10000.0,50.0,64.0,3.0,0.85,0.5507246376811594,0.4492753623188406,0.6376811594202898,0.18840579710144922
3.0,10000.0,80.0,64.0,3.0,0.85,0.5449275362318841,0.5072463768115942,0.6086956521739131,0.10144927536231885
3.0,10000.0,5.0,128.0,1.0,0.85,0.5478260869565218,0.4927536231884058,0.5797101449275363,0.08695652173913043
3.0,10000.0,20.0,128.0,1.0,0.85,0.5623188405797102,0.4782608695652174,0.6376811594202898,0.1594202898550724
3.0,10000.0,50.0,128.0,1.0,0.85,0.527536231884058,0.4492753623188406,0.6231884057971014,0.17391304347826086
3.0,10000.0,80.0,128.0,1.0,0.85,0.5333333333333334,0.463768115942029,0.5797101449275363,0.11594202898550726
3.0,10000.0,5.0,128.0,2.0,0.85,0.527536231884058,0.4492753623188406,0.5942028985507246,0.14492753623188404
3.0,10000.0,20.0,128.0,2.0,0.85,0.5710144927536233,0.43478260869565216,0.6086956521739131,0.17391304347826092
3.0,10000.0,50.0,128.0,2.0,0.85,0.5768115942028984,0.4782608695652174,0.6521739130434783,0.17391304347826086
3.0,10000.0,80.0,128.0,2.0,0.85,0.5478260869565218,0.5072463768115942,0.5942028985507246,0.08695652173913038
3.0,10000.0,5.0,128.0,3.0,0.85,0.536231884057971,0.463768115942029,0.5797101449275363,0.11594202898550726
3.0,10000.0,20.0,128.0,3.0,0.85,0.5710144927536231,0.5217391304347826,0.6086956521739131,0.08695652173913049
3.0,10000.0,50.0,128.0,3.0,0.85,0.5768115942028985,0.4782608695652174,0.6521739130434783,0.17391304347826086
3.0,10000.0,80.0,128.0,3.0,0.85,0.5565217391304348,0.463768115942029,0.5942028985507246,0.13043478260869562
3.0,10000.0,5.0,256.0,1.0,0.85,0.5217391304347826,0.4492753623188406,0.5797101449275363,0.13043478260869568
3.0,10000.0,20.0,256.0,1.0,0.85,0.544927536231884,0.4782608695652174,0.5942028985507246,0.1159420289855072
3.0,10000.0,50.0,256.0,1.0,0.85,0.5420289855072464,0.4782608695652174,0.6521739130434783,0.17391304347826086
3.0,10000.0,80.0,256.0,1.0,0.85,0.5333333333333333,0.5072463768115942,0.5652173913043478,0.05797101449275355
3.0,10000.0,5.0,256.0,2.0,0.85,0.5391304347826087,0.463768115942029,0.6376811594202898,0.1739130434782608
3.0,10000.0,20.0,256.0,2.0,0.85,0.5652173913043479,0.5217391304347826,0.5942028985507246,0.07246376811594202
3.0,10000.0,50.0,256.0,2.0,0.85,0.5710144927536231,0.5072463768115942,0.6376811594202898,0.13043478260869557
3.0,10000.0,80.0,256.0,2.0,0.85,0.5652173913043479,0.5217391304347826,0.6231884057971014,0.10144927536231885
3.0,10000.0,5.0,256.0,3.0,0.85,0.527536231884058,0.463768115942029,0.5797101449275363,0.11594202898550726
3.0,10000.0,20.0,256.0,3.0,0.85,0.5710144927536231,0.5072463768115942,0.6086956521739131,0.10144927536231885
3.0,10000.0,50.0,256.0,3.0,0.85,0.5652173913043478,0.463768115942029,0.6376811594202898,0.1739130434782608
3.0,10000.0,80.0,256.0,3.0,0.85,0.5594202898550724,0.4782608695652174,0.5942028985507246,0.1159420289855072
7.0,10000.0,5.0,16.0,1.0,0.85,0.48235294117647054,0.36764705882352944,0.6029411764705882,0.23529411764705876
7.0,10000.0,20.0,16.0,1.0,0.85,0.5058823529411764,0.4411764705882353,0.5735294117647058,0.13235294117647056
7.0,10000.0,50.0,16.0,1.0,0.85,0.4911764705882352,0.45588235294117646,0.5588235294117647,0.10294117647058826
7.0,10000.0,80.0,16.0,1.0,0.85,0.488235294117647,0.39705882352941174,0.6176470588235294,0.2205882352941177
7.0,10000.0,5.0,16.0,2.0,0.85,0.5058823529411763,0.4264705882352941,0.6029411764705882,0.1764705882352941
7.0,10000.0,20.0,16.0,2.0,0.85,0.5235294117647059,0.4411764705882353,0.5588235294117647,0.11764705882352944
7.0,10000.0,50.0,16.0,2.0,0.85,0.49411764705882355,0.45588235294117646,0.5441176470588235,0.08823529411764702
7.0,10000.0,80.0,16.0,2.0,0.85,0.5088235294117647,0.4117647058823529,0.6617647058823529,0.25
