lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7,20,64,1,0.85,0.534328358,0.447761194,0.582089552,0.134328358
7,80,128,3,0.85,0.525373134,0.432835821,0.582089552,0.149253731
7,5,32,2,0.85,0.51641791,0.447761194,0.582089552,0.134328358
7,5,128,3,0.85,0.51641791,0.462686567,0.582089552,0.119402985
7,80,64,1,0.85,0.510447761,0.373134328,0.582089552,0.208955224
7,5,16,1,0.85,0.504477612,0.373134328,0.582089552,0.208955224
14,5,16,3,0.85,0.527272727,0.46969697,0.575757576,0.106060606
14,20,64,3,0.85,0.521212121,0.439393939,0.575757576,0.136363636
14,80,16,3,0.85,0.509090909,0.439393939,0.575757576,0.136363636
14,80,16,2,0.85,0.503030303,0.424242424,0.575757576,0.151515152
14,5,32,2,0.85,0.503030303,0.424242424,0.575757576,0.151515152
14,5,128,3,0.85,0.5,0.46969697,0.575757576,0.106060606
14,5,128,2,0.85,0.493939394,0.454545455,0.575757576,0.121212121
3,80,32,2,0.85,0.541176471,0.485294118,0.573529412,0.088235294
3,80,256,3,0.85,0.535294118,0.5,0.573529412,0.073529412
3,5,32,2,0.85,0.523529412,0.470588235,0.573529412,0.102941176
1,50,64,3,0.85,0.514705882,0.5,0.573529412,0.073529412
1,20,256,3,0.85,0.505882353,0.455882353,0.573529412,0.117647059
7,5,128,1,0.85,0.513432836,0.402985075,0.567164179,0.164179104
7,5,16,3,0.85,0.495522388,0.388059701,0.567164179,0.179104478
7,5,256,3,0.85,0.47761194,0.358208955,0.567164179,0.208955224
14,50,32,3,0.85,0.524242424,0.439393939,0.560606061,0.121212121
14,20,128,2,0.85,0.521212121,0.439393939,0.560606061,0.121212121
14,50,32,2,0.85,0.518181818,0.409090909,0.560606061,0.151515152
14,80,256,1,0.85,0.518181818,0.439393939,0.560606061,0.121212121
14,80,256,2,0.85,0.518181818,0.46969697,0.560606061,0.090909091
14,20,128,3,0.85,0.515151515,0.46969697,0.560606061,0.090909091
14,50,256,3,0.85,0.515151515,0.46969697,0.560606061,0.090909091
14,5,16,1,0.85,0.512121212,0.454545455,0.560606061,0.106060606
14,20,32,2,0.85,0.506060606,0.454545455,0.560606061,0.106060606
14,5,64,3,0.85,0.503030303,0.454545455,0.560606061,0.106060606
14,80,128,2,0.85,0.5,0.439393939,0.560606061,0.121212121
14,50,64,3,0.85,0.490909091,0.439393939,0.560606061,0.121212121
14,80,16,1,0.85,0.487878788,0.439393939,0.560606061,0.121212121
14,5,256,2,0.85,0.475757576,0.409090909,0.560606061,0.151515152
3,5,16,1,0.85,0.523529412,0.470588235,0.558823529,0.088235294
1,20,128,3,0.85,0.508823529,0.470588235,0.558823529,0.088235294
1,5,16,3,0.85,0.488235294,0.441176471,0.558823529,0.117647059
7,5,128,2,0.85,0.513432836,0.462686567,0.552238806,0.089552239
7,5,256,2,0.85,0.495522388,0.388059701,0.552238806,0.164179104
14,20,32,3,0.85,0.518181818,0.424242424,0.545454545,0.121212121
14,5,16,2,0.85,0.515151515,0.454545455,0.545454545,0.090909091
14,5,32,1,0.85,0.509090909,0.46969697,0.545454545,0.075757576
14,50,64,2,0.85,0.5,0.454545455,0.545454545,0.090909091
1,50,32,3,0.85,0.523529412,0.5,0.544117647,0.044117647
1,50,64,1,0.85,0.520588235,0.5,0.544117647,0.044117647
1,50,16,1,0.85,0.514705882,0.485294118,0.544117647,0.058823529
1,50,128,1,0.85,0.505882353,0.470588235,0.544117647,0.073529412
1,50,128,2,0.85,0.5,0.470588235,0.544117647,0.073529412
1,50,256,2,0.85,0.5,0.441176471,0.544117647,0.102941176
1,50,256,3,0.85,0.497058824,0.455882353,0.544117647,0.088235294
1,5,32,2,0.85,0.491176471,0.441176471,0.544117647,0.102941176
1,5,64,3,0.85,0.488235294,0.426470588,0.544117647,0.117647059
1,5,256,3,0.85,0.488235294,0.367647059,0.544117647,0.176470588
1,5,64,2,0.85,0.485294118,0.441176471,0.544117647,0.102941176
7,5,256,1,0.85,0.48358209,0.432835821,0.537313433,0.104477612
14,50,128,2,0.85,0.506060606,0.484848485,0.53030303,0.045454545
14,20,256,1,0.85,0.490909091,0.46969697,0.53030303,0.060606061
14,5,128,1,0.85,0.478787879,0.424242424,0.53030303,0.106060606
1,50,16,3,0.85,0.514705882,0.485294118,0.529411765,0.044117647
1,50,16,2,0.85,0.505882353,0.485294118,0.529411765,0.044117647
1,50,32,2,0.85,0.505882353,0.485294118,0.529411765,0.044117647
1,20,16,1,0.85,0.5,0.485294118,0.529411765,0.044117647
1,80,16,1,0.85,0.5,0.455882353,0.529411765,0.073529412
1,20,16,3,0.85,0.5,0.470588235,0.529411765,0.058823529
1,50,32,1,0.85,0.5,0.485294118,0.529411765,0.044117647
1,20,16,2,0.85,0.497058824,0.470588235,0.529411765,0.058823529
1,20,32,2,0.85,0.482352941,0.426470588,0.529411765,0.102941176
1,5,64,1,0.85,0.482352941,0.426470588,0.529411765,0.102941176
1,20,128,2,0.85,0.482352941,0.426470588,0.529411765,0.102941176
