lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1,50,64,3,0.85,0.511764706,0.470588235,0.544117647,0.073529412
7,50,128,1,0.85,0.510447761,0.402985075,0.597014925,0.194029851
7,50,128,2,0.85,0.510447761,0.432835821,0.582089552,0.149253731
7,50,256,2,0.85,0.510447761,0.417910448,0.582089552,0.164179104
7,20,64,1,0.85,0.510447761,0.402985075,0.582089552,0.179104478
7,20,256,3,0.85,0.510447761,0.462686567,0.567164179,0.104477612
7,20,16,1,0.85,0.510447761,0.447761194,0.567164179,0.119402985
14,5,16,1,0.85,0.509090909,0.454545455,0.590909091,0.136363636
3,50,256,2,0.85,0.508823529,0.441176471,0.632352941,0.191176471
3,50,256,3,0.85,0.508823529,0.455882353,0.617647059,0.161764706
3,50,16,2,0.85,0.508823529,0.470588235,0.573529412,0.102941176
1,50,32,3,0.85,0.508823529,0.485294118,0.529411765,0.044117647
1,50,64,2,0.85,0.508823529,0.5,0.529411765,0.029411765
7,80,16,3,0.85,0.507462687,0.447761194,0.611940299,0.164179104
7,50,256,1,0.85,0.507462687,0.417910448,0.597014925,0.179104478
7,80,256,3,0.85,0.507462687,0.402985075,0.597014925,0.194029851
7,50,32,3,0.85,0.507462687,0.402985075,0.552238806,0.149253731
7,50,16,3,0.85,0.507462687,0.462686567,0.552238806,0.089552239
14,80,32,1,0.85,0.506060606,0.439393939,0.560606061,0.121212121
1,50,256,1,0.85,0.505882353,0.470588235,0.544117647,0.073529412
1,50,16,1,0.85,0.505882353,0.470588235,0.529411765,0.058823529
7,80,64,1,0.85,0.504477612,0.388059701,0.597014925,0.208955224
7,50,64,1,0.85,0.504477612,0.373134328,0.582089552,0.208955224
7,5,128,1,0.85,0.504477612,0.402985075,0.567164179,0.164179104
7,50,128,3,0.85,0.504477612,0.447761194,0.567164179,0.119402985
7,20,16,3,0.85,0.504477612,0.447761194,0.537313433,0.089552239
14,5,128,3,0.85,0.503030303,0.46969697,0.575757576,0.106060606
1,20,32,1,0.85,0.502941176,0.470588235,0.529411765,0.058823529
1,50,32,1,0.85,0.502941176,0.485294118,0.529411765,0.044117647
1,20,32,3,0.85,0.502941176,0.485294118,0.529411765,0.044117647
1,50,16,2,0.85,0.502941176,0.470588235,0.529411765,0.058823529
1,50,64,1,0.85,0.502941176,0.485294118,0.529411765,0.044117647
7,50,64,2,0.85,0.501492537,0.358208955,0.597014925,0.23880597
7,80,128,2,0.85,0.501492537,0.388059701,0.582089552,0.194029851
7,80,32,1,0.85,0.501492537,0.402985075,0.567164179,0.164179104
7,20,32,2,0.85,0.501492537,0.432835821,0.552238806,0.119402985
7,5,32,3,0.85,0.501492537,0.432835821,0.552238806,0.119402985
14,20,16,1,0.85,0.5,0.439393939,0.606060606,0.166666667
14,80,64,1,0.85,0.5,0.409090909,0.560606061,0.151515152
1,50,32,2,0.85,0.5,0.470588235,0.529411765,0.058823529
1,20,16,3,0.85,0.5,0.441176471,0.529411765,0.088235294
7,20,64,2,0.85,0.498507463,0.402985075,0.686567164,0.28358209
7,20,32,3,0.85,0.498507463,0.432835821,0.567164179,0.134328358
7,5,64,2,0.85,0.498507463,0.402985075,0.552238806,0.149253731
