lag,epochs,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,total_f1
3,10000,80,128,3,0.85,,0,0,0,0,0.287319387,0.557677974,0,0,0,0,0.176470588,0.544117647,0.432352941,0.367647059,0.844997361
14,10000,20,16,1,0.85,,0,0,0,0.036363636,0.232421519,0.570786561,0,0,0,0,0.196969697,0.545454545,0.436363636,0.348484848,0.839571717
7,10000,20,16,2,0.85,,0,0,0,0,0.171256851,0.608200977,0.057142857,0,0,0,0.074626866,0.492537313,0.459701493,0.417910448,0.836600686
14,10000,20,64,2,0.85,,0,0,0,0.04,0.192855971,0.534307359,0.066666667,0,0,0,0.166666667,0.484848485,0.403030303,0.318181818,0.833829996
14,10000,20,128,3,0.85,,0,0,0,0.044444444,0.269891775,0.518130489,0,0,0,0,0.196969697,0.53030303,0.424242424,0.333333333,0.832466708
14,10000,80,256,3,0.85,,0,0,0,0.044444444,0.273580234,0.513711372,0,0,0,0,0.136363636,0.484848485,0.4,0.348484848,0.831736051
7,10000,80,16,1,0.85,,0,0,0,0,0.256690171,0.575025927,0,0,0,0,0.104477612,0.507462687,0.441791045,0.402985075,0.831716099
14,10000,80,256,1,0.85,,0,0,0,0.036363636,0.293309859,0.501970501,0,0,0,0,0.181818182,0.515151515,0.415151515,0.333333333,0.831643996
14,10000,5,128,1,0.85,,0,0,0,0.133333333,0.073469388,0.551190427,0.066666667,0,0,0,0.166666667,0.515151515,0.406060606,0.348484848,0.824659815
14,10000,80,16,2,0.85,,0,0,0,0.1,0.145054945,0.57905914,0,0,0,0,0.166666667,0.53030303,0.448484848,0.363636364,0.824114085
1,10000,80,256,2,0.85,,0,0,0,0,0.233569414,0.510486162,0.08,0,0,0,0.058823529,0.426470588,0.388235294,0.367647059,0.824055576
3,10000,5,16,1,0.85,,0,0,0,0,0.273343592,0.549337809,0,0,0,0,0.161764706,0.514705882,0.429411765,0.352941176,0.822681401
3,10000,20,16,3,0.85,,0,0,0,0,0.258270151,0.563831557,0,0,0,0,0.117647059,0.485294118,0.438235294,0.367647059,0.822101708
3,10000,80,32,1,0.85,,0,0,0,0,0.268937676,0.5516229,0,0,0,0,0.147058824,0.514705882,0.426470588,0.367647059,0.820560576
1,10000,20,128,3,0.85,,0,0,0,0,0.168485727,0.56808872,0.08,0,0,0,0.102941176,0.485294118,0.423529412,0.382352941,0.816574447
7,10000,5,16,3,0.85,,0,0,0,0,0.245480519,0.57030018,0,0,0,0,0.074626866,0.492537313,0.456716418,0.417910448,0.8157807
14,10000,80,16,1,0.85,,0,0,0,0,0.226689977,0.583230103,0,0,0,0,0.151515152,0.515151515,0.448484848,0.363636364,0.80992008
7,10000,5,256,3,0.85,,0,0,0,0,0.29384674,0.514760094,0,0,0,0,0.134328358,0.552238806,0.462686567,0.417910448,0.808606834
14,10000,20,128,1,0.85,,0,0,0,0.086363636,0.176117982,0.545637844,0,0,0,0,0.151515152,0.484848485,0.409090909,0.333333333,0.808119463
14,10000,80,32,2,0.85,,0,0,0,0.086363636,0.176596466,0.545126287,0,0,0,0,0.121212121,0.454545455,0.403030303,0.333333333,0.808086388
14,10000,50,16,1,0.85,,0,0,0,0,0.234649799,0.572434623,0,0,0,0,0.196969697,0.545454545,0.442424242,0.348484848,0.807084421
14,10000,50,64,1,0.85,,0,0,0,0,0.255625077,0.551261853,0,0,0,0,0.212121212,0.545454545,0.439393939,0.333333333,0.80688693
3,10000,80,16,2,0.85,,0,0,0,0,0.228830519,0.578049206,0,0,0,0,0.161764706,0.529411765,0.441176471,0.367647059,0.806879725
3,10000,80,32,2,0.85,,0,0,0,0.08,0.177317927,0.546763678,0,0,0,0,0.102941176,0.470588235,0.408823529,0.367647059,0.804081605
3,10000,5,32,2,0.85,,0,0,0,0,0.259471698,0.543499361,0,0,0,0,0.102941176,0.470588235,0.423529412,0.367647059,0.802971059
14,10000,20,256,3,0.85,,0,0,0,0,0.243923445,0.557743903,0,0,0,0,0.196969697,0.53030303,0.433333333,0.333333333,0.801667348
1,10000,50,128,1,0.85,,0,0,0,0,0.218691113,0.58268329,0,0,0,0,0.088235294,0.470588235,0.432352941,0.382352941,0.801374403
14,10000,5,16,2,0.85,,0,0,0,0.04,0.242747346,0.518308605,0,0,0,0,0.242424242,0.575757576,0.409090909,0.333333333,0.801055951
1,10000,5,128,1,0.85,,0,0,0,0,0.186000188,0.532721024,0.08,0,0,0,0.088235294,0.426470588,0.388235294,0.338235294,0.798721212
1,10000,20,128,2,0.85,,0,0,0,0,0.182399164,0.535493217,0.08,0,0,0,0.044117647,0.426470588,0.4,0.382352941,0.797892381
7,10000,80,32,1,0.85,,0,0,0,0,0.198601565,0.597281474,0,0,0,0,0.059701493,0.492537313,0.453731343,0.432835821,0.79588304
3,10000,50,16,1,0.85,,0,0,0,0,0.374713265,0.421000733,0,0,0,0,0.117647059,0.485294118,0.417647059,0.367647059,0.795713998
14,10000,50,32,3,0.85,,0,0,0,0.05,0.180930233,0.555735419,0,0,0,0,0.151515152,0.484848485,0.415151515,0.333333333,0.786665652
14,10000,20,16,2,0.85,,0,0,0,0,0.203060093,0.57899786,0,0,0,0,0.196969697,0.53030303,0.445454545,0.333333333,0.782057953
14,10000,50,256,3,0.85,,0,0,0,0.036363636,0.207814851,0.535226347,0,0,0,0,0.166666667,0.515151515,0.415151515,0.348484848,0.779404835
3,10000,5,32,3,0.85,,0,0,0,0,0.207559841,0.570276756,0,0,0,0,0.102941176,0.485294118,0.432352941,0.382352941,0.777836597
1,10000,20,32,1,0.85,,0,0,0,0,0.215343915,0.561647907,0,0,0,0,0.058823529,0.441176471,0.420588235,0.382352941,0.776991822
3,10000,80,32,3,0.85,,0,0,0,0.116666667,0.092432432,0.567103261,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.77620236
14,10000,80,32,3,0.85,,0,0,0,0.107142857,0.090636019,0.577945242,0,0,0,0,0.151515152,0.5,0.418181818,0.348484848,0.775724118
1,10000,20,64,1,0.85,,0,0,0,0,0.230533502,0.543741683,0,0,0,0,0.088235294,0.441176471,0.405882353,0.352941176,0.774275185
