DateTime,Close,Volume_(BTC),Weighted_Price,neg_pol,neu_pol,pos_pol,compound,dt,Tweet_vol
2018-11-08 00:00:00+00:00,6405.85,3.0847484622690313,6441.217536944789,0.0487125748502994,0.841562874251497,0.10973053892215569,0.1432748502994012,2018-11-08 12:09:58.935698688+00:00,905.0
2018-11-09 00:00:00+00:00,6345.88,2.623013545712121,6358.800612244622,0.05250649350649351,0.8342402597402598,0.11327272727272729,0.15924935064935064,2018-11-09 12:08:29.727272960+00:00,939.0
2018-11-10 00:00:00+00:00,6354.91,1.2225159273116437,6356.807957418751,0.045034482758620695,0.8498189655172413,0.10514655172413793,0.14870000000000003,2018-11-10 11:33:46.335616512+00:00,721.0
2018-11-11 00:00:00+00:00,6367.0,1.6131467537405224,6339.076429730666,0.05124806201550388,0.8441317829457364,0.10463565891472867,0.12031782945736434,2018-11-11 12:28:28.104464896+00:00,833.0
2018-11-12 00:00:00+00:00,6288.35,2.894922988843391,6345.473661723922,0.060353658536585364,0.8239573170731707,0.11569512195121952,0.1445646341463415,2018-11-12 12:13:38.663793152+00:00,884.0
2018-11-13 00:00:00+00:00,6275.0,2.608928949651494,6285.510107297082,0.05680434782608697,0.8278695652173913,0.11533152173913043,0.13088858695652175,2018-11-13 12:09:47.453769728+00:00,989.0
2018-11-14 00:00:00+00:00,5591.08,19.514919314338442,5947.226798023468,0.05857603686635945,0.8255622119815668,0.11586175115207374,0.16167281105990783,2018-11-14 12:21:06.727019520+00:00,1008.0
2018-11-15 00:00:00+00:00,5531.85,13.290993776823127,5489.883579660408,0.05188636363636364,0.8295818181818181,0.1185590909090909,0.16254636363636363,2018-11-15 11:58:31.224489728+00:00,1059.0
2018-11-16 00:00:00+00:00,5489.27,5.436975836007043,5526.709484189577,0.05509036144578313,0.8327469879518071,0.11216265060240964,0.1230421686746988,2018-11-16 11:48:43.943662080+00:00,980.0
2018-11-17 00:00:00+00:00,5517.02,2.1785204743615254,5486.294587569319,0.05326724137931035,0.823896551724138,0.12285344827586206,0.14150258620689657,2018-11-17 11:55:50.248756224+00:00,797.0
2018-11-18 00:00:00+00:00,5515.0,2.687766045891287,5535.915300115507,0.042536000000000004,0.8419840000000002,0.115504,0.1752176,2018-11-18 12:38:28.057553920+00:00,826.0
2018-11-19 00:00:00+00:00,4807.27,20.340184279876375,5138.572727359753,0.04787437185929649,0.8406331658291457,0.11148743718592964,0.18349899497487437,2018-11-19 12:04:24.560439552+00:00,1127.0
2018-11-20 00:00:00+00:00,4289.23,28.806272816442178,4490.204830894626,0.049111553784860554,0.8401513944223107,0.11072509960159363,0.14156852589641436,2018-11-20 12:01:43.142857216+00:00,1096.0
2018-11-21 00:00:00+00:00,4583.31,13.608510366625346,4466.222412058196,0.05858796296296296,0.8204305555555556,0.12098611111111113,0.14985416666666668,2018-11-21 11:58:51.446281216+00:00,1023.0
2018-11-22 00:00:00+00:00,4191.47,8.307064782352093,4442.743705807071,0.05213513513513513,0.8329729729729731,0.1148864864864865,0.15891675675675676,2018-11-22 12:07:11.558441472+00:00,986.0
2018-11-23 00:00:00+00:00,4340.0,8.690635862073085,4253.909247887492,0.044307262569832404,0.8381843575418995,0.11753631284916202,0.1682614525139665,2018-11-23 11:49:40.309206016+00:00,929.0
2018-11-24 00:00:00+00:00,3781.3,11.880044220222059,4148.733577919912,0.04603867403314917,0.8318729281767955,0.12209944751381215,0.1486342541436464,2018-11-24 12:22:05.018504704+00:00,896.0
2018-11-25 00:00:00+00:00,3945.06,18.373938455085444,3772.447146362953,0.05806572769953051,0.8250140845070423,0.11692957746478873,0.1602399061032864,2018-11-25 11:57:50.444292352+00:00,1016.0
2018-11-26 00:00:00+00:00,3681.54,17.141418463548607,3828.426446685316,0.05082231404958677,0.8377148760330578,0.11145041322314049,0.16236694214876032,2018-11-26 11:58:38.626784512+00:00,993.0
2018-11-27 00:00:00+00:00,3799.8,11.777937013968685,3710.735113042614,0.04406896551724138,0.8385615763546799,0.11736453201970445,0.19183251231527093,2018-11-27 12:01:51.626957056+00:00,987.0
2018-11-28 00:00:00+00:00,4124.61,17.468816760769872,4205.031093128421,0.07000719041278296,0.7599824234354196,0.17000488237905015,0.24603392809587218,2018-11-28 17:39:58.540243200+00:00,23968.0
2018-11-29 00:00:00+00:00,4209.0,11.8867488305659,4232.365132305146,0.07057642934728942,0.7527383726671275,0.17668248247259802,0.2673624765478424,2018-11-29 12:16:12.795508480+00:00,43342.0
2018-11-30 00:00:00+00:00,3968.71,10.028236747431192,4055.416103853494,0.05313186813186813,0.8321593406593408,0.11471428571428571,0.15443791208791208,2018-11-30 11:54:12.406492416+00:00,964.0
2018-12-01 00:00:00+00:00,4228.04,4.86056024504783,4098.595421389992,0.03997435897435898,0.8346923076923076,0.1253397435897436,0.20613205128205125,2018-12-01 12:06:12.626931456+00:00,846.0
2018-12-02 00:00:00+00:00,4081.8,5.499075262300949,4112.02951517363,0.03497902097902098,0.8314405594405595,0.13357342657342658,0.22040489510489508,2018-12-02 12:02:31.292914688+00:00,795.0
2018-12-03 00:00:00+00:00,3855.19,8.046856951310344,3905.0845526101375,0.043765,0.828515,0.12775,0.2312005,2018-12-03 12:07:00.993103616+00:00,902.0
2018-12-04 00:00:00+00:00,3887.18,8.53759857699115,3908.7323018304287,0.03885377358490565,0.8296179245283019,0.13150471698113206,0.2591193396226415,2018-12-04 12:00:14.867256576+00:00,885.0
2018-12-05 00:00:00+00:00,3720.79,10.047973279986339,3787.9462670400953,0.05946700507614213,0.8331167512690355,0.10743654822335025,0.1049736040609137,2018-12-05 12:02:39.303278592+00:00,893.0
2018-12-06 00:00:00+00:00,3355.04,13.010422997281553,3665.220932101179,0.053285714285714283,0.8355428571428573,0.11116,0.14128857142857143,2018-12-06 11:59:44.479889152+00:00,895.0
2018-12-07 00:00:00+00:00,3441.58,16.582074382375506,3363.20885936393,0.04698706896551724,0.8268793103448275,0.1261508620689655,0.23294655172413795,2018-12-07 11:58:34.481830400+00:00,944.0
2018-12-08 00:00:00+00:00,3411.23,7.17567568624732,3383.333759177842,0.04935761589403974,0.8407417218543046,0.10991390728476821,0.13351059602649007,2018-12-08 11:53:26.890636032+00:00,793.0
